algorithm,run,seed,best_validation_accuracy,best_test_accuracy,precision,recall,f1,runtime_seconds,total_search_time_seconds,final_training_time_seconds,fitness_evaluations,average_fitness_evaluation_duration,hp_base_filters,hp_batch_size,hp_dilation,hp_dropout,hp_final_neurons,hp_learning_rate,hp_se_ratio,hp_shared_conv_kernel_size
GWO,run_02,43,0.104,0.2018,0.17741480767407522,0.20179999999999998,0.13476092307308737,11.15203440003097,4.836719000013545,6.315315400017425,2,2.4183595000067726,16,128,1,0.45228582855283506,512,0.00028145596704174725,8,5
GWO,run_03,44,0.1018,0.2647,0.30863306258862544,0.26470000000000005,0.2030069575297185,24.326408199965954,8.36229269998148,15.964115499984473,2,4.18114634999074,32,32,2,0.1973902748713401,512,0.005183073256512259,8,3
PSO,run_01,42,0.1008,0.2393,0.23737680348464085,0.23929999999999998,0.18113378034231997,176.86103000002913,38.08606540004257,138.77496459998656,2,19.043032700021286,64,128,3,0.15650640873258972,256,0.008938089586343595,16,7
WOA,run_01,42,0.1008,0.2393,0.23737680348464085,0.23929999999999998,0.18113378034231997,177.8326296999585,40.62747249996755,137.20515719999094,2,20.313736249983776,64,128,3,0.15650640873258972,256,0.008938089586343595,16,7
RAO,run_01,42,0.1044,0.2877,0.31508831750661276,0.28769999999999996,0.21981174030425374,210.00370820006356,73.39136210002471,136.61234610003885,2,36.695681050012354,64,128,3,0.15650640873258972,256,0.00010780631144868549,16,7
