rank,algorithm,mean_test_accuracy,std_test_accuracy,mean_f1,std_f1,mean_runtime,std_runtime
1,RAO,0.2877,0.0,0.21981174030425374,0.0,210.00370820006356,0.0
2,PSO,0.2393,0.0,0.18113378034231997,0.0,176.86103000002913,0.0
3,WOA,0.2393,0.0,0.18113378034231997,0.0,177.8326296999585,0.0
4,GWO,0.23325,0.03144999999999999,0.16888394030140294,0.034123017228315566,17.739221299998462,6.587186899967492
