algorithm,run,iteration,diversity
GWO,run_02,0,0.0
GWO,run_02,1,0.0
GWO,run_03,0,0.0
GWO,run_03,1,0.0
PSO,run_01,0,0.0
PSO,run_01,1,0.0
WOA,run_01,0,0.0
WOA,run_01,1,0.0
RAO,run_01,0,0.0
RAO,run_01,1,0.0
