algorithm,run,seed,best_validation_accuracy,best_test_accuracy,precision,recall,f1,runtime_seconds,hp_base_filters,hp_batch_size,hp_dilation,hp_dropout,hp_final_neurons,hp_learning_rate,hp_se_ratio,hp_shared_conv_kernel_size
GWO,run_03,44,0.1018,0.2647,0.30863306258862544,0.26470000000000005,0.2030069575297185,24.326408199965954,32,32,2,0.1973902748713401,512,0.005183073256512259,8,3
PSO,run_01,42,0.1008,0.2393,0.23737680348464085,0.23929999999999998,0.18113378034231997,176.86103000002913,64,128,3,0.15650640873258972,256,0.008938089586343595,16,7
WOA,run_01,42,0.1008,0.2393,0.23737680348464085,0.23929999999999998,0.18113378034231997,177.8326296999585,64,128,3,0.15650640873258972,256,0.008938089586343595,16,7
RAO,run_01,42,0.1044,0.2877,0.31508831750661276,0.28769999999999996,0.21981174030425374,210.00370820006356,64,128,3,0.15650640873258972,256,0.00010780631144868549,16,7
